Plant_Type,Soil_Moisture,Temperature,Humidity,Light_Lux,Status
Lidah Buaya,16.54,32.42,74.49,32459.46,NORMAL
Sirih Gading,41.72,16.72,70.9,43887.47,COLD
Sirih Gading,64.28,23.94,41.01,34640.06,SQUINT
Sirih Gading,58.54,23.87,64.58,27380.81,SQUINT
Lidah Buaya,14.69,23.78,30.13,9287.95,NORMAL
Sirih Gading,38.02,16.54,36.29,16861.89,COLD
Kacang Hijau,92.82,20.72,68.2,46456.98,SICK
Bayam,45.31,24.33,83.21,15761.93,NORMAL
Lidah Buaya,95.15,33.73,28.26,35715.9,SICK
Bayam,87.79,18.16,33.67,3991.55,NORMAL
Lidah Buaya,77.98,20.93,74.58,11951.8,NORMAL
Kacang Hijau,88.38,16.45,95.0,46387.61,COLD
Kacang Hijau,15.02,16.67,68.79,36871.69,COLD
Kacang Hijau,52.97,18.36,95.0,12094.66,NORMAL
Bayam,68.89,29.07,82.12,44751.64,SQUINT
Bayam,4.91,15.84,40.12,16737.18,COLD
Lidah Buaya,43.88,25.15,62.2,46703.84,NORMAL
Bayam,70.55,28.78,56.7,34010.67,NORMAL
Kacang Hijau,48.73,34.01,17.29,21499.26,NORMAL
Kacang Hijau,37.56,37.25,25.28,4699.1,HOT
Lidah Buaya,82.19,37.52,64.68,18764.9,HOT
Bayam,21.78,29.24,35.06,16360.0,THIRSTY
Bayam,43.31,20.22,81.43,9602.1,NORMAL
Lidah Buaya,36.17,15.49,87.31,36910.84,COLD
Sirih Gading,0.04,18.83,80.58,29809.13,THIRSTY
Kacang Hijau,96.35,15.25,67.11,25951.61,COLD
Lidah Buaya,50.31,22.4,35.42,24733.41,NORMAL
Kacang Hijau,8.98,18.68,50.34,45541.31,THIRSTY
Sirih Gading,98.14,36.06,38.47,4868.84,HOT
Lidah Buaya,18.68,15.1,62.96,31220.02,COLD
Sirih Gading,48.92,27.31,80.57,22513.26,SQUINT
Bayam,98.23,35.38,27.06,35431.02,HOT
Sirih Gading,59.36,18.94,70.7,8209.25,NORMAL
Sirih Gading,81.94,26.17,18.74,17991.25,SQUINT
Lidah Buaya,73.79,24.15,76.84,46272.58,NORMAL
Lidah Buaya,29.48,33.6,40.24,40097.31,NORMAL
Kacang Hijau,30.25,35.22,65.95,42934.91,HOT
Lidah Buaya,8.02,25.21,40.8,46971.68,NORMAL
Bayam,68.42,23.78,43.8,10777.16,NORMAL
Lidah Buaya,49.45,31.39,64.16,49568.96,SQUINT
Sirih Gading,52.05,28.24,39.48,32769.16,SQUINT
Bayam,33.97,35.45,24.66,46797.76,HOT
Sirih Gading,94.08,34.05,71.95,8739.06,SICK
Kacang Hijau,95.08,39.15,52.05,35127.03,HOT
Kacang Hijau,58.0,31.06,15.45,28074.23,SQUINT
Sirih Gading,84.5,37.93,28.0,12.04,HOT
Lidah Buaya,6.66,16.21,46.36,9436.99,COLD
Bayam,38.24,36.11,43.17,46727.9,HOT
Lidah Buaya,59.88,35.98,56.67,48056.22,HOT
Bayam,4.55,36.85,27.36,42281.32,HOT
Lidah Buaya,76.32,36.8,70.39,30420.4,HOT
Bayam,45.56,17.18,95.0,18166.69,COLD
Lidah Buaya,27.33,16.62,69.67,39801.86,COLD
Lidah Buaya,42.58,23.49,84.96,39488.27,NORMAL
Lidah Buaya,73.39,19.3,62.58,38699.03,NORMAL
Lidah Buaya,89.51,25.39,50.87,39407.2,SICK
Bayam,39.13,22.28,60.53,47996.41,THIRSTY
Bayam,17.34,35.48,13.42,17043.83,HOT
Sirih Gading,96.94,16.86,67.93,34660.48,COLD
Kacang Hijau,53.34,37.74,51.45,43498.46,HOT
Sirih Gading,85.59,30.5,35.57,21733.91,SQUINT
Sirih Gading,25.35,17.1,35.51,3712.34,COLD
Sirih Gading,72.14,21.71,66.3,47063.95,SQUINT
Kacang Hijau,66.31,21.25,30.76,29768.32,SQUINT
Lidah Buaya,9.79,17.58,68.44,39525.42,COLD
Bayam,9.13,37.37,18.85,37500.76,HOT
Kacang Hijau,35.69,27.88,53.18,17689.46,NORMAL
Lidah Buaya,40.72,39.44,45.8,1302.89,HOT
Lidah Buaya,56.47,26.0,45.97,12091.75,NORMAL
Lidah Buaya,92.08,33.49,12.61,48680.38,SICK
Lidah Buaya,31.3,33.39,46.02,8029.34,NORMAL
Lidah Buaya,63.27,35.79,63.29,17626.39,HOT
Sirih Gading,77.49,38.06,60.09,19636.76,HOT
Lidah Buaya,73.08,21.45,30.43,14954.01,NORMAL
